# File: A_irnstl_TradedTechnology_bilateral.csv,,,,,,,
# Title: Technology-level assumptions of traded iron and steel markets,,,,,,,
# Units: Various,,,,,,,
# Comments: for traded fuels, each subsector has only one technology; there is no technology-level competition,,,,,,
# Source: NA,,,,,,,
# Column types: ccccnnni,,,,,,,
# ----------,,,,,,,
supplysector,subsector,technology,minicam.energy.input,coefficient,input.cost,share.weight,traded
traded low-carbon iron and steel_nonEU,traded low-carbon iron and steel_nonEU,BF_BOF_CCS_86%,BF_BOF_CCS_86%,1,0,1,1
traded low-carbon iron and steel_nonEU,traded low-carbon iron and steel_nonEU,BF_BOF_BECCSmin,BF_BOF_BECCSmin,1,0,1,1
traded low-carbon iron and steel_nonEU,traded low-carbon iron and steel_nonEU,BF_BOF_BECCSmax,BF_BOF_BECCSmax,1,0,1,1
traded low-carbon iron and steel_nonEU,traded low-carbon iron and steel_nonEU,SR_BOF_CCS,SR_BOF_CCS,1,0,1,1
traded low-carbon iron and steel_nonEU,traded low-carbon iron and steel_nonEU,DRI_EAF_NG_CCS,DRI_EAF_NG_CCS,1,0,1,1
traded low-carbon iron and steel_nonEU,traded low-carbon iron and steel_nonEU,DRI_EAF_coal_CCS,DRI_EAF_coal_CCS,1,0,1,1
traded low-carbon iron and steel_nonEU,traded low-carbon iron and steel_nonEU,DRI_EAF_BECCS,DRI_EAF_BECCS,1,0,1,1
traded low-carbon iron and steel_nonEU,traded low-carbon iron and steel_nonEU,DRI_EAF_H2,DRI_EAF_H2,1,0,1,1
traded low-carbon iron and steel_nonEU,traded low-carbon iron and steel_nonEU,DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,1,0,1,1
traded low-carbon iron and steel_nonEU,traded low-carbon iron and steel_nonEU,DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,1,0,1,1
traded low-carbon iron and steel_nonEU,traded low-carbon iron and steel_nonEU,AEL_EAF,AEL_EAF,1,0,1,1
traded low-carbon iron and steel_nonEU,traded low-carbon iron and steel_nonEU,MOE,MOE,1,0,1,1
traded low-carbon iron and steel_nonEU,traded low-carbon iron and steel_nonEU,EAF_scrap_fossil_NG_finish,EAF_scrap_fossil_NG_finish,1,0,1,1
traded low-carbon iron and steel_nonEU,traded low-carbon iron and steel_nonEU,EAF_scrap_bio_NG_finish,EAF_scrap_bio_NG_finish,1,0,1,1
traded low-carbon iron and steel_nonEU,traded low-carbon iron and steel_nonEU,EAF_scrap_fossil_elec_finish,EAF_scrap_fossil_elec_finish,1,0,1,1
traded low-carbon iron and steel_nonEU,traded low-carbon iron and steel_nonEU,EAF_scrap_bio_elec_finish,EAF_scrap_bio_elec_finish,1,0,1,1
traded med-carbon iron and steel_nonEU,traded med-carbon iron and steel_nonEU,DRI_EAF_NG,DRI_EAF_NG,1,0,1,1
traded med-carbon iron and steel_nonEU,traded med-carbon iron and steel_nonEU,DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,1,0,1,1
traded med-carbon iron and steel_nonEU,traded med-carbon iron and steel_nonEU,BF_BOF_CCS_73%,BF_BOF_CCS_73%,1,0,1,1
traded high-carbon iron and steel_nonEU,traded high-carbon iron and steel_nonEU,BF_BOF,BF_BOF,1,0,1,1
traded high-carbon iron and steel_nonEU,traded high-carbon iron and steel_nonEU,SR_BOF,SR_BOF,1,0,1,1
traded high-carbon iron and steel_nonEU,traded high-carbon iron and steel_nonEU,DRI_EAF_coal,DRI_EAF_coal,1,0,1,1
traded low-carbon iron and steel_EU,traded low-carbon iron and steel_EU,BF_BOF_CCS_86%,BF_BOF_CCS_86%,1,0,1,1
traded low-carbon iron and steel_EU,traded low-carbon iron and steel_EU,BF_BOF_BECCSmin,BF_BOF_BECCSmin,1,0,1,1
traded low-carbon iron and steel_EU,traded low-carbon iron and steel_EU,BF_BOF_BECCSmax,BF_BOF_BECCSmax,1,0,1,1
traded low-carbon iron and steel_EU,traded low-carbon iron and steel_EU,SR_BOF_CCS,SR_BOF_CCS,1,0,1,1
traded low-carbon iron and steel_EU,traded low-carbon iron and steel_EU,DRI_EAF_NG_CCS,DRI_EAF_NG_CCS,1,0,1,1
traded low-carbon iron and steel_EU,traded low-carbon iron and steel_EU,DRI_EAF_coal_CCS,DRI_EAF_coal_CCS,1,0,1,1
traded low-carbon iron and steel_EU,traded low-carbon iron and steel_EU,DRI_EAF_BECCS,DRI_EAF_BECCS,1,0,1,1
traded low-carbon iron and steel_EU,traded low-carbon iron and steel_EU,DRI_EAF_H2,DRI_EAF_H2,1,0,1,1
traded low-carbon iron and steel_EU,traded low-carbon iron and steel_EU,DRI_SAF_BOF_H2,DRI_SAF_BOF_H2,1,0,1,1
traded low-carbon iron and steel_EU,traded low-carbon iron and steel_EU,DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,1,0,1,1
traded low-carbon iron and steel_EU,traded low-carbon iron and steel_EU,AEL_EAF,AEL_EAF,1,0,1,1
traded low-carbon iron and steel_EU,traded low-carbon iron and steel_EU,MOE,MOE,1,0,1,1
traded low-carbon iron and steel_EU,traded low-carbon iron and steel_EU,EAF_scrap_fossil_NG_finish,EAF_scrap_fossil_NG_finish,1,0,1,1
traded low-carbon iron and steel_EU,traded low-carbon iron and steel_EU,EAF_scrap_bio_NG_finish,EAF_scrap_bio_NG_finish,1,0,1,1
traded low-carbon iron and steel_EU,traded low-carbon iron and steel_EU,EAF_scrap_fossil_elec_finish,EAF_scrap_fossil_elec_finish,1,0,1,1
traded low-carbon iron and steel_EU,traded low-carbon iron and steel_EU,EAF_scrap_bio_elec_finish,EAF_scrap_bio_elec_finish,1,0,1,1
traded med-carbon iron and steel_EU,traded med-carbon iron and steel_EU,DRI_EAF_NG,DRI_EAF_NG,1,0,1,1
traded med-carbon iron and steel_EU,traded med-carbon iron and steel_EU,DRI_SAF_BOF_NG,DRI_SAF_BOF_NG,1,0,1,1
traded med-carbon iron and steel_EU,traded med-carbon iron and steel_EU,BF_BOF_CCS_73%,BF_BOF_CCS_73%,1,0,1,1
traded high-carbon iron and steel_EU,traded high-carbon iron and steel_EU,BF_BOF,BF_BOF,1,0,1,1
traded high-carbon iron and steel_EU,traded high-carbon iron and steel_EU,SR_BOF,SR_BOF,1,0,1,1
traded high-carbon iron and steel_EU,traded high-carbon iron and steel_EU,DRI_EAF_coal,DRI_EAF_coal,1,0,1,1
