# File: A_CCap_Constraint.csv,,,,,,,,,,,,,,,,,,,,,,,,
# Title: Carbon caps for specific industries,,,,,,,,,,,,,,,,,,,,,,,,
# Units: MTC,,,,,,,,,,,,,,,,,,,,,,,,
# Comments: For linked regions (share same market/policy/constraint) only include the constraint for one region,,,,,,,,,,,,,,,,,,,,,,,,
#  If using GDP intensity base year  in GDPIntensity_BaseYear column (must be historical year); then percent change in year columns,,,,,,,,,,,,,,,,,,,,,,,,
# Column types: ccccciiinnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,,
xml,market,ghgpolicy,link.type,mapping.name,year.fillout,GDPIntensity_BaseYear,adjust.year,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_ccapbuild_can.xml,Canada,CO2_building,,BUILD_SECTORS_NOCOOL,2030,,2020,19.9403927,19.9403927,19.9403927,,,,,,,,,,,,,,
policy_ccapind_chn.xml,China,CO2_industry,,CO2_CHINA_INDUSTRY,,2015,2020,-12,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28
policy_ccap_eu.xml,EU,CO2_ETS,,ETS,2030,,2020,,387.8102662,242.367,,,,,,,,,,,,,,
policy_fgas_eu.xml,EU,FGAS,FGAS,,2050,,2020,69.9,48.5,27.1,13.4,6.6,3.3,1.7,,,,,,,,,,
policy_ccap_efta.xml,European Free Trade Association,CO2_ETS,,ETS,2030,,2020,,45,36.5,,,,,,,,,,,,,,
policy_ccap_iron_steel_cement_jpn.xml,Japan,CO2_ironsteel,,IRONSTEEL,2030,,2020,,35.7,28.6,,,,,,,,,,,,,,
policy_ccap_iron_steel_cement_jpn.xml,Japan,CO2_cement,,CEMENT,2030,,2020,,,10.14,,,,,,,,,,,,,,
policy_ccaptran_rus.xml,Russia,CO2_4W,,TRN_4W,2050,,2020,,,25,25,25,25,25,,,,,,,,,,
policy_ccap_kor.xml,South Korea,CO2,,,2025,,2020,182.22,174,,,,,,,,,,,,,,,
policy_ccapbuild_kor.xml,South Korea,CO2_building,,BUILD_SECTORS_NOCOOL,2030,,2020,,12.79493806,11.29493806,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Argentina,CO2,,,,,2020,48.36092293,52.59788328,53.61475356,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Australia_NZ,CO2,,,,,2020,127.3835682,119.2985527,98.19673593,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Brazil,CO2,,,,,2020,128.6909024,126.9551795,127.5761825,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Canada,CO2,,,,,2020,162.007138,141.5439871,101.7470791,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,China,CO2,,,,,2020,3191.782089,3472.470594,3604.167804,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,EU,CO2,,,,,2020,777.3216837,637.1964536,446.4828997,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Europe_Non_EU,CO2,,,,,2020,135.6257762,147.6303913,156.2409023,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,India,CO2,,,,,2020,719.6032757,952.7606213,1144.351348,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Indonesia,CO2,,,,,2020,178.0984671,190.755551,219.6346358,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Japan,CO2,,,,,2020,319.851745,290.7184513,244.7161603,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Mexico,CO2,,,,,2020,130.8756904,135.7397412,137.5436386,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Middle East,CO2,,,,,2020,583.3918774,626.0701417,645.1492793,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,Russia,CO2,,,,,2020,504.7475731,471.4291363,450.1018661,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,South Africa,CO2,,,,,2020,134.2200455,137.5819791,135.9461255,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,South Korea,CO2,,,,,2020,180.3059018,176.3275547,168.9977837,,,,,,,,,,,,,,
policy_caps_CP_CO2only.xml,USA,CO2,,,,,2020,1259.621264,1149.337928,1021.231997,,,,,,,,,,,,,,
policy_GHG_constraint_post2030_CP.xml,Africa_Eastern,GHG,ALL_GHG_NOAGPR,,,,2035,,,,1330.945329,1627.68064,1987.495588,2413.702367,2907.653525,3469.653574,4098.553366,4785.546832,5514.55717,6264.305737,7014.458559,7764.134886,8493.48018,9179.877614
policy_GHG_constraint_post2030_CP.xml,Africa_Northern,GHG,ALL_GHG_NOAGPR,,,,2035,,,,1290.181937,1430.562203,1559.386642,1678.631163,1798.813777,1920.789491,2031.210789,2115.545889,2174.633774,2215.001245,2236.418979,2228.532114,2204.576174,2172.77417
policy_GHG_constraint_post2030_CP.xml,Africa_Southern,GHG,ALL_GHG_NOAGPR,,,,2035,,,,1202.905385,1399.66234,1651.958718,1967.171194,2345.260226,2785.472926,3283.283059,3836.923484,4434.02531,5061.103459,5702.040589,6341.332232,6959.873468,7547.893465
policy_GHG_constraint_post2030_CP.xml,Africa_Western,GHG,ALL_GHG_NOAGPR,,,,2035,,,,2964.18125,3681.153645,4543.65854,5565.869887,6754.770883,8105.947283,9595.467586,11226.85909,12952.385,14714.80978,16461.77263,18145.37313,19730.56764,21182.1697
policy_GHG_constraint_post2030_CP.xml,Argentina,GHG,ALL_GHG_NOAGPR_ARG,,,,2035,,,,402.572872,387.2956381,369.5107362,351.7190222,333.9366393,315.9366635,306.3500329,294.2964443,280.4587169,265.5515677,251.0484868,235.9810409,222.1589308,209.9806001
policy_GHG_constraint_post2030_CP.xml,Australia_NZ,GHG,ALL_GHG_NOAGPR,,,,2035,,,,674.6280031,635.5795024,598.2167597,558.7248748,521.9197467,488.0618007,456.9307249,424.1013389,392.6872359,365.0793829,339.5928737,315.826341,295.4041143,276.9344052
policy_GHG_constraint_post2030_CP.xml,Brazil,GHG,ALL_GHG_NOAGPR_BRA,,,,2035,,,,1204.608348,1137.198538,1066.070134,988.3987279,909.0614952,831.2669791,770.2576805,710.5782686,656.6912378,607.4865446,556.2370679,508.8161939,465.2804175,426.8410865
policy_GHG_constraint_post2030_CP.xml,Canada,GHG,ALL_GHG_NOAGPR_LUC0175,,,,2035,,,,406.3291701,318.4445197,249.118916,194.5314932,151.8053194,118.2949534,94.13522612,74.67748464,58.76023649,46.45499676,36.93373259,29.42953879,23.59063529,18.95263309
policy_GHG_constraint_post2030_CP.xml,Central America and Caribbean,GHG,ALL_GHG_NOAGPR,,,,2035,,,,493.8596735,523.4392223,552.3547875,579.3206582,603.7485644,625.2866698,644.6777222,660.1720707,671.7643666,679.8666408,684.8140829,684.1391543,678.9475606,672.09267
policy_GHG_constraint_post2030_CP.xml,Central Asia,GHG,ALL_GHG_NOAGPR,,,,2035,,,,1130.159682,1220.216176,1275.202895,1301.278842,1314.909845,1336.284507,1367.128265,1392.151104,1398.560121,1397.710087,1394.930583,1379.593625,1356.143197,1324.601815
policy_GHG_constraint_post2030_CP.xml,China,GHG,ALL_GHG_NOAGPR,,,,2035,,,,14665.00606,13582.55292,12235.22015,10828.31601,9610.494798,8474.097417,7398.385005,6414.293695,5566.360305,4774.200916,4045.059623,3343.737865,2772.603308,2390.158335
policy_GHG_constraint_post2030_CP.xml,Colombia,GHG,ALL_GHG_NOAGPR_COL,,,,2035,,,,263.7674493,257.890967,248.6572229,237.4776601,224.7374398,210.828236,208.5351662,204.5376353,199.2311062,194.2358726,189.7791538,184.2313857,177.7555534,170.9708669
policy_GHG_constraint_post2030_CP.xml,EU,GHG,GHG_NO_LUC_AGPRzero,,,,2035,,,,1800.260498,1395.911494,1084.134479,841.0469473,652.0088772,506.0985156,393.243905,305.1725033,235.5731863,182.075302,141.2329218,109.665202,85.35092125,66.54602386
policy_GHG_constraint_post2030_CP.xml,Europe_Eastern,GHG,ALL_GHG_NOAGPR,,,,2035,,,,629.8718017,635.4477351,630.438649,615.6487976,598.3715958,581.759385,566.477827,552.8495248,536.0493062,514.9733686,488.2279177,459.3416502,439.4121983,423.9307315
policy_GHG_constraint_post2030_CP.xml,Europe_Non_EU,GHG,ALL_GHG_NOAGPR,,,,2035,,,,766.0782285,747.6389918,719.2078341,686.0506224,647.2619987,607.7619935,569.489916,531.3576324,491.39878,452.6573355,415.2346671,377.8873204,341.932767,311.7391273
policy_GHG_constraint_post2030_CP.xml,European Free Trade Association,GHG,GHG_NO_LUC_AGPR,,,,2035,,,,409.0471385,357.3768861,311.8187893,272.0744769,238.3781282,208.9650977,185.4855797,163.7374023,143.8369989,126.6097763,111.4271168,98.1057462,86.81490966,77.22647984
policy_GHG_constraint_post2030_CP.xml,India,GHG,ALL_GHG_NOAGPR_IND,,,,2035,,,,5551.392786,5937.178208,6156.925135,6258.449641,6302.707465,6311.948773,6393.732515,6400.231814,6334.54012,6202.234333,6036.659435,5840.119543,5629.410787,5402.551031
policy_GHG_constraint_post2030_CP.xml,Indonesia,GHG,ALL_GHG_NOAGPR,,,,2035,,,,1513.941659,1473.322785,1408.587049,1328.249136,1238.526088,1145.772123,1091.482386,1025.823282,952.4764106,882.8699783,810.0743289,736.750218,667.8335153,602.1897016
policy_GHG_constraint_post2030_CP.xml,Japan,GHG,GHG_NO_LUC_AGPR,,,,2035,,,,849.8065233,733.2899139,631.3044679,541.1820272,466.3815475,406.2416069,354.7006189,309.1663574,268.6358318,233.6590763,204.6929114,180.34578,159.8166087,142.0539331
policy_GHG_constraint_post2030_CP.xml,Mexico,GHG,ALL_GHG_NOAGPR_MEX,,,,2035,,,,730.41958,724.9596579,713.9976984,698.9395392,678.3410464,653.1207662,644.2822689,632.0655194,614.61608,594.6389167,570.3814468,543.8211081,519.2503927,497.3384474
policy_GHG_constraint_post2030_CP.xml,Middle East,GHG,ALL_GHG_NOAGPR,,,,2035,,,,3290.608179,3257.271961,3187.080568,3095.272954,3002.987774,2927.388472,2860.272113,2784.333414,2711.80885,2645.897351,2580.844237,2502.052691,2428.653975,2363.280122
